epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1489.46,1.28031,0.74655,1.43336,0.54654,0.55977,0.55709,0.26937,1.83946,1.04633,2.00494,0.000277405,0.000277405,0.000277405
61,1513.28,1.2884,0.76051,1.43929,0.52421,0.56617,0.54178,0.26677,1.8438,1.02279,2.03063,0.000270802,0.000270802,0.000270802
62,1537.23,1.26032,0.73184,1.41718,0.57069,0.60836,0.56979,0.27503,1.87358,1.06005,2.08321,0.000264199,0.000264199,0.000264199
63,1560.7,1.2643,0.73497,1.4072,0.57556,0.60625,0.58509,0.27877,1.85065,1.03711,2.06581,0.000257595,0.000257595,0.000257595
64,1584.23,1.25322,0.73908,1.40751,0.56063,0.56546,0.54323,0.26564,1.89295,1.07142,2.13674,0.000250992,0.000250992,0.000250992
65,1607.86,1.24836,0.71865,1.39222,0.54849,0.61119,0.56236,0.27394,1.86108,1.02806,2.05864,0.000244389,0.000244389,0.000244389
66,1631.71,1.2339,0.71807,1.39966,0.51542,0.5665,0.5455,0.26071,1.88569,1.06797,2.09017,0.000237785,0.000237785,0.000237785
67,1655.23,1.21146,0.70049,1.37012,0.5605,0.57844,0.54737,0.26006,1.86217,1.04778,2.06156,0.000231182,0.000231182,0.000231182
68,1678.76,1.21726,0.69702,1.38647,0.60521,0.5721,0.567,0.26972,1.89798,1.04577,2.12752,0.000224579,0.000224579,0.000224579
69,1702.44,1.20298,0.6979,1.35802,0.64262,0.55036,0.56851,0.26789,1.88624,1.04584,2.11762,0.000217976,0.000217976,0.000217976
70,1726.16,1.19483,0.68423,1.36199,0.62174,0.56913,0.56773,0.2733,1.84843,1.04253,2.10398,0.000211372,0.000211372,0.000211372
71,1749.65,1.1805,0.6739,1.35469,0.54551,0.57845,0.54211,0.26581,1.84967,1.02429,2.09108,0.000204769,0.000204769,0.000204769
72,1773.26,1.17647,0.67525,1.35339,0.59241,0.55663,0.55434,0.26851,1.86049,1.06075,2.10749,0.000198166,0.000198166,0.000198166
73,1796.64,1.15034,0.64924,1.33832,0.59221,0.57114,0.55485,0.2709,1.89588,1.05605,2.17818,0.000191562,0.000191562,0.000191562
74,1820.14,1.17229,0.67516,1.35766,0.5331,0.60985,0.55087,0.26641,1.87416,1.0707,2.1159,0.000184959,0.000184959,0.000184959
75,1843.48,1.15954,0.66661,1.34273,0.66099,0.51907,0.5508,0.26513,1.8858,1.07559,2.14293,0.000178356,0.000178356,0.000178356
76,1868.69,1.13034,0.63879,1.31583,0.68069,0.52473,0.57298,0.27083,1.88366,1.06987,2.14659,0.000171752,0.000171752,0.000171752
77,1894.16,1.12981,0.63083,1.32216,0.62679,0.56738,0.55546,0.2691,1.88521,1.03356,2.17355,0.000165149,0.000165149,0.000165149
